Frame,Left EAR,Right EAR,Blinks,Concentration
10.00,0.3067788123665174,0.3417851637303307,5,0.9603224043715849
20.00,0.2546030579754651,0.2118667483984073,12,0.8979470693654223
30.03,0.2513075901662128,0.2846505930986626,23,0.7699999999999991
40.06,0.22981188708287342,0.3172799976419647,28,0.7274999999999988
50.07,0.4043445908646581,0.3870795684836106,33,0.6699999999999994
60.07,0.3840400781719787,0.38933918155019803,39,0.6214999999999997
70.08,0.33343058723310587,0.3802921848713734,48,0.5254999999999996
