Frame,Left EAR,Right EAR,Blinks,Concentration
10.00,0.3717170423137424,0.3835310545045434,0,1.0
20.04,0.36962328617924056,0.4272990011005806,1,0.99
30.05,0.3645113248206974,0.4197598881677804,2,0.9799999999999989
40.05,0.37105939833827334,0.4247336795423529,6,0.9399999999999998
50.08,0.3455333325538365,0.3698627892399108,6,0.9399999999999998
60.11,0.44479484454686935,0.4927776592378702,9,0.912666666666666
70.11,0.33484481763238183,0.4690118244599648,10,0.9000000000000001
80.11,0.121504277816492,0.34698741297685987,14,0.8699999999999989
90.14,0.3682863609732895,0.5108316399398118,15,0.8500000000000001
